City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Elizabeth,ZA,-33.918,25.5701,71.89,78,75,13.8,broken clouds
80,Tasiilaq,GL,65.6145,-37.6368,10.4,60,32,7.78,scattered clouds
81,Atuona,PF,-9.8,-139.0333,78.19,76,19,18.45,light rain
82,Alappuzha,IN,9.49,76.3264,78.87,74,80,4.25,broken clouds
83,Cape Town,ZA,-33.9258,18.4232,74.1,54,0,13.8,clear sky
84,Ponta Do Sol,PT,32.6667,-17.1,70.72,80,100,6.55,overcast clouds
85,Kruisfontein,ZA,-34.0033,24.7314,65.91,77,70,10.92,broken clouds
86,Cidreira,BR,-30.1811,-50.2056,76.77,69,0,15.52,clear sky
87,Broken Hill,AU,-31.95,141.4333,65.91,42,0,18.41,clear sky
88,Kenai,US,60.5544,-151.2583,23.05,74,0,27.63,clear sky
89,Saint-Louis,SN,16.3333,-15.0,96.44,5,68,17.4,broken clouds
90,Trairi,BR,-3.2778,-39.2689,86.41,58,89,9.35,overcast clouds
91,Charagua,BO,-19.8,-63.2167,89.17,28,41,13.29,scattered clouds
92,Longyearbyen,SJ,78.2186,15.6401,24.64,68,75,13.8,broken clouds
93,Quesnel,CA,52.9999,-122.5029,34.3,93,100,0.0,overcast clouds
94,Ust-Kuyga,RU,70.0167,135.6,-25.04,98,96,9.08,overcast clouds
95,Rosarito,MX,32.3333,-117.0333,79.09,30,0,10.2,clear sky
96,Cururupu,BR,-1.8283,-44.8683,77.32,85,90,3.44,overcast clouds
97,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,33,0,3.44,clear sky
98,Charlestown,AU,-32.95,151.6667,75.07,88,54,5.01,heavy intensity rain
99,Kiunga,PG,-6.1219,141.2906,73.58,100,100,2.08,moderate rain
100,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,25,6.89,scattered clouds
101,Narsaq,GL,60.9167,-46.05,8.82,66,31,6.38,scattered clouds
102,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,10.36,light snow
103,Bengkulu,ID,-3.8004,102.2655,76.6,75,100,4.12,overcast clouds
