City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Karacabey,TR,39.99,clear sky,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
528,Baltiysk,RU,39.18,light rain,54.6538,19.911,Guest house on Vzmorye
540,Aktau,KZ,37.98,overcast clouds,43.65,51.2,Silk Way Hotel
542,Havre-Saint-Pierre,CA,30.79,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
545,Bihoro,JP,15.67,overcast clouds,43.8228,144.1044,グリーンビレッジ美幌
553,Mujiayingzi,CN,22.12,clear sky,42.1167,118.7833,Jinjiang Hotel
570,Igrim,RU,11.46,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
581,Andenes,NO,35.58,broken clouds,69.3143,16.1194,Hotell Marena
582,Xining,CN,18.05,overcast clouds,36.6167,101.7667,Super Leisure Hotel
583,Lerwick,GB,35.6,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
584,Klaksvik,FO,31.12,overcast clouds,62.2266,-6.589,Airbnb rooms
585,Wasilla,US,17.02,broken clouds,61.5814,-149.4394,Alaska's Select Inn Wasilla
589,Totskoye,RU,24.71,light snow,52.5248,52.7623,Gostinitsa
595,Zonguldak,TR,30.33,broken clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
598,Ushtobe,KZ,16.34,overcast clouds,45.2514,77.9838,Filipin Squad
626,Ayan,RU,12.29,light snow,56.45,138.1667,Gostinitsa
627,Alvand,IR,34.2,snow,36.3187,49.1678,پرورش ماهی افشار
644,Snezhnogorsk,RU,26.38,overcast clouds,69.1933,33.2531,Severnoye Siyaniye
656,Huron,US,36.81,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
666,Nara,JP,38.91,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
671,Nuuk,GL,27.21,broken clouds,64.1835,-51.7216,Vandrehuset
672,Korla,CN,27.97,broken clouds,41.7597,86.1469,Gulisitan Hotel
680,Onega,RU,26.83,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
